year,Female 0 - 4,Female 5 - 11,Female 12 - 17,Female 18 - 59,Female 60,Female other
2011,929,1395,1266,5527,447,355
2012,41674,44717,31148,104933,6733,73063
2013,166827,174175,111858,431962,29552,1287
2014,211036,246596,182852,567509,41857,2690
2015,176826,227808,133310,536471,37182,5288
2016,166322,229837,133791,526982,36554,9878
2017,190556,263890,152065,603800,41095,9840
2018,466981,574668,351413,1424255,101926,10955
2019,468462,595175,343883,1416285,99762,20300
2020,425229,600189,378049,1440052,104392,17215
2021,407545,641783,377927,1476408,108935,6104
