year,Male 0 - 4,Male 5 - 11,Male 12 - 17,Male 18 - 59,Male 60,Male other
2011,1014,1551,1429,8832,441,682
2012,40646,46108,35402,120745,5287,80979
2013,174097,183920,120231,430766,23208,2648
2014,220097,259957,193884,537721,33174,5051
2015,185314,241719,146197,587672,29822,8123
2016,175290,245426,155948,608151,29808,16525
2017,201295,281225,173847,714495,34177,10812
2018,497705,613565,399643,1780149,90695,13455
2019,498860,631768,385524,1759228,88975,27493
2020,438389,645248,430506,1786622,93673,32809
2021,432952,681023,411655,1838029,97747,23454
